feature	metadata	value	coef	stderr	N	N.not.0	pval	qval
g_Akkermansia	BMI	BMI	-0.01123483779517	0.00184281511863206	2916	571	1.22748146459061e-09	1.60922820007829e-06
g_Klebsiella	Age	Age	0.00980107058317267	0.00172910477712512	2916	893	1.58428765702387e-08	8.76312947803211e-06
g_Ruminococcus	BMI	BMI	0.00759039053288518	0.00134884625684797	2916	1983	2.00529278673504e-08	8.76312947803211e-06
g_Bacteroides	BMI	BMI	-0.0173716210174925	0.00321436101458434	2916	2808	7.0316532787258e-08	2.30462436210238e-05
g_Enterobacter	Age	Age	0.000283541889065383	5.34111873746713e-05	2916	31	1.18784229853356e-07	2.6710223939544e-05
g_Sutterella	Education	Bachelor_degree_or_above	0.00503024365942439	0.000948498689847065	2916	355	1.22243587824e-07	2.6710223939544e-05
g_Parabacteroides	BMI	BMI	-0.00200306792964662	0.000383609070429758	2916	927	1.89900750565875e-07	3.55656977131231e-05
g_Citrobacter	Age	Age	0.000168782647801269	3.38094020098e-05	2916	7	6.32367067057057e-07	0.000103629153113975
g_Blautia	BMI	BMI	0.00328695985833399	0.000661935957347112	2916	884	7.24317120990843e-07	0.000105508860624333
g_Megasphaera	family_income_cat	>=10000	0.00990653888376142	0.00215865664155192	2916	280	4.63846552219891e-06	0.000608102829960277
g_Butyricimonas	BMI	BMI	-0.000353643213643994	8.19662309297568e-05	2916	77	1.65320570928056e-05	0.0019703206226062
g_Odoribacter	BMI	BMI	-0.000187309092690714	4.44462969961274e-05	2916	13	2.58238725203924e-05	0.00282125807285287
g_Bacteroides	family_income_cat	>=10000	0.0590295346484519	0.0141212556766555	2916	2808	2.99896441152573e-05	0.00302434026423864
g_Atopobium	Smoking_status	Current smokers	0.000337494733577085	8.28013782700175e-05	2916	6	4.70581964512406e-05	0.00411288636983843
g_Parabacteroides	Education	Bachelor_degree_or_above	0.00592128462537476	0.00144997933380342	2916	927	4.55244491688657e-05	0.00411288636983843
g_Ralstonia	Serum_Zn	Serum_Zn	-0.00421890806505145	0.00103893334622785	2916	1359	5.01998746388432e-05	0.00411325222822022
g_Bacteroides	Education	Bachelor_degree_or_above	0.0481942136950071	0.0121497571402815	2916	2808	7.46467574424196e-05	0.00543677216705623
g_Faecalibacterium	Age	Age	-0.00797959972557273	0.0020111176690938	2916	2475	7.43166048627878e-05	0.00543677216705623
g_Oscillospira	BMI	BMI	-0.000921071568171491	0.00023723581275412	2916	466	0.000105690555964758	0.00729264836156834
g_Odoribacter	family_income_cat	>=10000	0.000743445185233599	0.000195260433073677	2916	13	0.000143315988118062	0.00894701240108471
g_Ralstonia	BMI	BMI	0.00400096723630131	0.00104763165235101	2916	1359	0.000136771685598517	0.00894701240108471
g_Sediminibacterium	Serum_Zn	Serum_Zn	-0.00349353024847873	0.000923007675442131	2916	1078	0.00015686159842587	0.00934752525165068
g_Dorea	BMI	BMI	0.00084254887367749	0.000229059951062066	2916	327	0.000239075162425551	0.0136272842582564
g_Alistipes	Age	Age	0.000186205011025391	5.15023387979866e-05	2916	15	0.000304917937342843	0.0159898966342587
g_Ochrobactrum	act_sports_intense	Yes	0.000625073391535181	0.000172869583285621	2916	22	0.000304449868707476	0.0159898966342587
g_Devosia	act_sports_intense	Yes	0.000270319674899736	7.51536684530637e-05	2916	0	0.00032742628394039	0.0165098407017635
g_Parabacteroides	family_income_cat	>=10000	0.0060017896890972	0.00168526240171665	2916	927	0.000374912393805619	0.0182040795658951
g_Lactobacillus	Age	Age	0.00131892902002024	0.000371652966971261	2916	78	0.000393114388709218	0.0184061772713495
g_Bradyrhizobium	Serum_Zn	Serum_Zn	-0.000656707999351281	0.000187943839730965	2916	353	0.000482666642899185	0.0218198609945114
g_Dorea	Age	Age	-0.000866677107155281	0.000249039013532999	2916	327	0.000508657243829789	0.0222283215553618
g_Alistipes	BMI	BMI	-0.000162465432065947	4.73705827745161e-05	2916	15	0.000612768875023083	0.0251043748486019
g_Alistipes	Education	High_school	0.000459540557370224	0.000133857100777085	2916	15	0.000605169187183794	0.0251043748486019
g_Alistipes	Education	Bachelor_degree_or_above	0.000607606684451653	0.00017905302910675	2916	15	0.000699470073693441	0.02697074313565
g_Dorea	Education	Bachelor_degree_or_above	-0.00293950666483109	0.00086580902497934	2916	327	0.000695277847268169	0.02697074313565
g_Bifidobacterium	Gender	Female	0.00511084855670538	0.00152487934277705	2916	466	0.000813650276417289	0.0299246270396282
g_Sutterella	Education	High_school	0.00237464062130126	0.000709082026409603	2916	355	0.000821728888960042	0.0299246270396282
g_Bacteroides	family_income_cat	5000-10000	0.0350367230597292	0.0105381580952558	2916	2808	0.00089600593079581	0.0317476696019813
g_Butyricimonas	family_income_cat	>=10000	0.00117696287792999	0.000360092129838303	2916	77	0.00109381111064936	0.037736483317403
g_Prauseria	Energy_intake	Energy_intake	0.000157869082013928	4.9108390164664e-05	2916	15	0.00132013011183801	0.0443766814517855
g_Phascolarctobacterium	Education	Bachelor_degree_or_above	0.00918227092654537	0.00289581352901569	2916	1236	0.00153566827239676	0.0503315276278038
g_Pseudidiomarina	act_sports_intense	Yes	0.000229169496983654	7.24985797612008e-05	2916	0	0.00158841161323336	0.0507904298768032
g_Coprobacillus	BMI	BMI	-0.0003627389530647	0.000116489174069124	2916	45	0.00186418253513585	0.0581891262753119
g_Megamonas	act_sports_intense	Yes	0.00891045953106089	0.00291022745448971	2916	347	0.00222049858927638	0.0676993872218916
g_Ralstonia	Gender	Female	-0.00868030311166207	0.00284589628747054	2916	1359	0.00230827304325823	0.0687760445388988
