feature	g_Acidaminococcus	g_Acinetobacter	g_Actinomyces	g_Adlercreutzia	g_Akkermansia	g_Alistipes	g_Anaerostipes	g_Atopobium	g_Bacteroides	g_Bifidobacterium	g_Bilophila	g_Blautia	g_Bradyrhizobium	g_Brevibacterium	g_Bulleidia	g_Butyricimonas	g_Catenibacterium	g_Citrobacter	g_Clostridium	g_Collinsella	g_Coprobacillus	g_Coprococcus	g_Desulfovibrio	g_Devosia	g_Dialister	g_Dorea	g_Eggerthella	g_Enhydrobacter	g_Enterobacter	g_Faecalibacterium	g_Fusobacterium	g_Haemophilus	g_Halomonas	g_Holdemania	g_Klebsiella	g_Lachnobacterium	g_Lachnospira	g_Lacticigenium	g_Lactobacillus	g_Leptothrix	g_Megamonas	g_Megasphaera	g_Methanobrevibacter	g_Methylobacterium	g_Ochrobactrum	g_Odoribacter	g_Oscillospira	g_Parabacteroides	g_Paraprevotella	g_Phascolarctobacterium	g_Prauseria	g_Prevotella	g_Pseudidiomarina	g_Pseudomonas	g_Ralstonia	g_Roseburia	g_SMB53	g_Sediminibacterium	g_Serratia	g_Sphingomonas	g_Staphylococcus	g_Streptococcus	g_Sutterella	g_Synergistes	g_Turicibacter	g_Veillonella	g_WAL_1855D	g_Eubacterium	g_Ruminococcus
G440883557	0	0.00196270853778214	0.00098135426889107	0	0.00098135426889107	0	0.0176643768400393	0	0.155053974484789	0.00686947988223749	0	0.0186457311089303	0.0176643768400393	0	0	0.00196270853778214	0	0	0.055937193326791	0.0107948969578018	0	0.00294406280667321	0	0.00098135426889107	0.00098135426889107	0.0353287536800785	0.00196270853778214	0	0	0.0264965652600589	0.0402355250245339	0	0.00196270853778214	0.00490677134445535	0.00196270853778214	0	0	0.00294406280667321	0	0.00098135426889107	0	0	0	0.00196270853778214	0.00098135426889107	0.00098135426889107	0.0274779195289499	0.00294406280667321	0	0.00098135426889107	0.00098135426889107	0.00294406280667321	0.00196270853778214	0	0.13738959764475	0.0098135426889107	0.00098135426889107	0.186457311089303	0	0.00098135426889107	0.00098135426889107	0.0186457311089303	0.00196270853778214	0	0.0117762512266928	0.00490677134445535	0	0.0304219823356232	0.141315014720314
G440883536	0	0	0.00883218842001963	0	0.00098135426889107	0	0	0.00490677134445535	0.0333660451422964	0.00098135426889107	0	0.0480863591756624	0.0157016683022571	0	0.00098135426889107	0	0	0.00098135426889107	0.00098135426889107	0.00490677134445535	0	0.0107948969578018	0	0	0.0117762512266928	0.0225711481844946	0	0	0.00098135426889107	0.0127576054955839	0.0127576054955839	0.00196270853778214	0	0	0.070657507360157	0	0.00588812561334642	0.00883218842001963	0	0.00098135426889107	0.00392541707556428	0.00294406280667321	0	0	0.00294406280667321	0	0.00196270853778214	0.00196270853778214	0	0.00098135426889107	0	0.131501472031403	0	0.00098135426889107	0.0608439646712463	0.00490677134445535	0	0.0539744847890088	0	0.00196270853778214	0	0.342492639842983	0.00294406280667321	0	0.00392541707556428	0.0392541707556428	0	0.00785083415112856	0.0490677134445535
G445302374	0	0.0098135426889107	0.00098135426889107	0	0.00098135426889107	0	0	0	0.0794896957801766	0.00098135426889107	0	0.157016683022571	0	0.00098135426889107	0.00294406280667321	0	0	0	0.00098135426889107	0	0	0.0186457311089303	0	0.00098135426889107	0.00098135426889107	0.0098135426889107	0.00883218842001963	0.00294406280667321	0	0.103042198233562	0.00098135426889107	0	0	0.00294406280667321	0.00294406280667321	0	0.00294406280667321	0	0	0.00098135426889107	0	0	0	0.00392541707556428	0.00785083415112856	0	0	0.00098135426889107	0	0.00098135426889107	0.00098135426889107	0	0	0	0.00490677134445535	0.00098135426889107	0	0	0	0.00098135426889107	0	0.48577036310108	0.00098135426889107	0	0	0	0	0	0.0736015701668302
G440205477	0	0	0	0	0.00098135426889107	0	0.013738959764475	0.00098135426889107	0.0863591756624141	0	0	0.10107948969578	0.0176643768400393	0.00098135426889107	0	0	0	0	0.0834151128557409	0	0	0.0274779195289499	0	0.00098135426889107	0.0323846908734053	0.0608439646712463	0	0	0	0.00196270853778214	0	0.00196270853778214	0	0	0.00098135426889107	0	0	0.0235525024533857	0.00098135426889107	0	0	0.00294406280667321	0.00098135426889107	0.00392541707556428	0.00098135426889107	0	0.00588812561334642	0	0.00098135426889107	0.00098135426889107	0	0.00196270853778214	0	0	0.0942100098135427	0.140333660451423	0	0.0255152109911678	0	0.00098135426889107	0	0.0461236506378803	0	0	0	0.0323846908734053	0	0	0.176643768400393
G441303538	0.0206084396467125	0.00392541707556428	0.0245338567222767	0	0.00098135426889107	0	0	0.00098135426889107	0.0451422963689892	0.0206084396467125	0.00196270853778214	0.0166830225711482	0.00588812561334642	0	0.00196270853778214	0	0	0	0	0	0	0.0343473994111874	0	0.00098135426889107	0	0.00196270853778214	0	0	0	0.00392541707556428	0.00196270853778214	0	0	0	0	0	0	0.0206084396467125	0	0.00098135426889107	0	0.00098135426889107	0	0	0	0	0	0.00294406280667321	0.00098135426889107	0.0637880274779195	0	0.00294406280667321	0	0	0.0107948969578018	0.00196270853778214	0	0.00294406280667321	0	0	0.00098135426889107	0.263002944062807	0.0922473012757605	0	0.00098135426889107	0	0	0.00294406280667321	0.340529931305201
G441502269	0	0.00098135426889107	0.00294406280667321	0	0.00098135426889107	0	0.00196270853778214	0	0.0117762512266928	0	0	0.00785083415112856	0.00294406280667321	0	0	0	0	0	0.00785083415112856	0.00785083415112856	0	0.0157016683022571	0	0	0	0.00883218842001963	0	0	0	0.74288518155054	0.00098135426889107	0.00196270853778214	0	0	0.00196270853778214	0.0264965652600589	0.00392541707556428	0.00392541707556428	0	0.00098135426889107	0.00098135426889107	0	0	0	0.00098135426889107	0.00098135426889107	0	0.00294406280667321	0.00098135426889107	0.00294406280667321	0	0.00392541707556428	0	0	0.0245338567222767	0.00294406280667321	0	0.013738959764475	0	0	0	0.055937193326791	0.00098135426889107	0	0	0	0	0	0.0294406280667321
G441424120	0.00098135426889107	0.00196270853778214	0.0647693817468106	0	0.00196270853778214	0	0	0.00392541707556428	0.0461236506378803	0	0	0.11972522080471	0.00392541707556428	0	0.00196270853778214	0	0	0	0.00294406280667321	0	0	0.0304219823356232	0	0.00098135426889107	0	0.0549558390578999	0	0	0	0.00098135426889107	0	0	0	0	0	0	0	0.00392541707556428	0	0	0	0.00392541707556428	0	0	0.00196270853778214	0	0	0.00294406280667321	0	0.0107948969578018	0	0.0245338567222767	0	0.00196270853778214	0.0578999018645731	0.00098135426889107	0	0.0363101079489696	0	0.00196270853778214	0	0.334641805691855	0.00196270853778214	0	0.0098135426889107	0.013738959764475	0	0.00196270853778214	0.153091265947007
G440104539	0	0.00196270853778214	0.0176643768400393	0	0.00196270853778214	0	0	0.00098135426889107	0.148184494602552	0	0	0.0657507360157017	0.00098135426889107	0	0.00196270853778214	0	0	0	0.028459273797841	0.0255152109911678	0	0.0176643768400393	0	0	0	0.0117762512266928	0	0	0.00196270853778214	0.013738959764475	0	0	0	0	0.0372914622178607	0.00098135426889107	0	0.014720314033366	0	0	0	0	0	0	0.00098135426889107	0	0	0.00098135426889107	0.0363101079489696	0.00392541707556428	0	0	0	0	0.00588812561334642	0.00196270853778214	0	0	0	0	0	0.424926398429833	0.00098135426889107	0	0	0.0107948969578018	0	0.0922473012757605	0.0206084396467125
G441284559	0	0	0.00098135426889107	0	0.00098135426889107	0	0	0	0.0883218842001963	0.00098135426889107	0.00098135426889107	0.00294406280667321	0	0	0	0.00098135426889107	0	0	0.00490677134445535	0.00098135426889107	0	0.00196270853778214	0.00686947988223749	0	0.00098135426889107	0.00098135426889107	0	0	0	0.0804710500490677	0.00196270853778214	0.0971540726202159	0	0	0	0	0.00392541707556428	0.00196270853778214	0	0	0	0	0.00098135426889107	0	0	0	0	0.00490677134445535	0	0.0235525024533857	0	0.442590775269872	0	0	0	0	0.00098135426889107	0	0	0	0	0.157998037291462	0	0	0	0.0127576054955839	0	0.0274779195289499	0.0127576054955839
G440104534	0	0.00098135426889107	0.00392541707556428	0	0.00196270853778214	0	0	0	0.0392541707556428	0	0	0.0127576054955839	0.00294406280667321	0	0	0	0	0.00883218842001963	0.00098135426889107	0	0	0.00196270853778214	0	0	0	0.00196270853778214	0	0	0.0166830225711482	0.0323846908734053	0.00490677134445535	0	0	0	0.769381746810599	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00686947988223749	0.00785083415112856	0	0.00392541707556428	0	0	0.00490677134445535	0.00294406280667321	0	0	0.00588812561334642	0	0	0.0264965652600589	0.00196270853778214	0	0.00098135426889107	0.00098135426889107	0	0	0.0353287536800785
G441502271	0	0.00392541707556428	0	0	0.00098135426889107	0	0	0	0.00392541707556428	0.0127576054955839	0	0.0127576054955839	0.00392541707556428	0.155053974484789	0.00098135426889107	0	0	0	0.00294406280667321	0.00490677134445535	0	0.0117762512266928	0	0	0.00098135426889107	0.00588812561334642	0	0	0	0.597644749754661	0.00098135426889107	0.00294406280667321	0	0.00098135426889107	0	0	0	0.00490677134445535	0.00098135426889107	0	0	0	0	0	0	0	0.00196270853778214	0	0	0.00098135426889107	0	0	0	0	0.042198233562316	0.00196270853778214	0	0.0255152109911678	0	0	0.0225711481844946	0.0127576054955839	0.00196270853778214	0	0	0.00490677134445535	0	0	0.0107948969578018
