feature	g_Acidaminococcus	g_Acinetobacter	g_Actinomyces	g_Adlercreutzia	g_Akkermansia	g_Alistipes	g_Anaerostipes	g_Atopobium	g_Bacteroides	g_Bifidobacterium	g_Bilophila	g_Blautia	g_Bradyrhizobium	g_Brevibacterium	g_Bulleidia	g_Butyricimonas	g_Catenibacterium	g_Citrobacter	g_Clostridium	g_Collinsella	g_Coprobacillus	g_Coprococcus	g_Desulfovibrio	g_Devosia	g_Dialister	g_Dorea	g_Eggerthella	g_Enhydrobacter	g_Enterobacter	g_Faecalibacterium	g_Fusobacterium	g_Haemophilus	g_Halomonas	g_Holdemania	g_Klebsiella	g_Lachnobacterium	g_Lachnospira	g_Lacticigenium	g_Lactobacillus	g_Leptothrix	g_Megamonas	g_Megasphaera	g_Methanobrevibacter	g_Methylobacterium	g_Ochrobactrum	g_Odoribacter	g_Oscillospira	g_Parabacteroides	g_Paraprevotella	g_Phascolarctobacterium	g_Prauseria	g_Prevotella	g_Pseudidiomarina	g_Pseudomonas	g_Ralstonia	g_Roseburia	g_SMB53	g_Sediminibacterium	g_Serratia	g_Sphingomonas	g_Staphylococcus	g_Streptococcus	g_Sutterella	g_Synergistes	g_Turicibacter	g_Veillonella	g_WAL_1855D	g_Eubacterium	g_Ruminococcus
G440883557	-0.0137375036223963	-0.0117767186804554	-0.0127566305668044	-0.0137375036223963	-0.0127566305668044	-0.0137375036223963	0.00377267138440637	-0.0137375036223963	0.130409570415156	-0.00689151111440621	-0.0137375036223963	0.00473652688071279	0.00377267138440637	-0.0137375036223963	-0.0137375036223963	-0.0117767186804554	-0.0137375036223963	-0.0137375036223963	0.0406912038766086	-0.0030004556214396	-0.0137375036223963	-0.0107977660814713	-0.0137375036223963	-0.0127566305668044	-0.0127566305668044	0.0209815090650458	-0.0117767186804554	-0.0137375036223963	-0.0137375036223963	0.0124141077797471	0.0257096502609916	-0.0137375036223963	-0.0117767186804554	-0.00884273124566813	-0.0117767186804554	-0.0137375036223963	-0.0137375036223963	-0.0107977660814713	-0.0137375036223963	-0.0127566305668044	-0.0137375036223963	-0.0137375036223963	-0.0137375036223963	-0.0117767186804554	-0.0127566305668044	-0.0127566305668044	0.0133696740254157	-0.0107977660814713	-0.0137375036223963	-0.0127566305668044	-0.0127566305668044	-0.0107977660814713	-0.0117767186804554	-0.0137375036223963	0.114998306494631	-0.00397180101107147	-0.0127566305668044	0.157234313769672	-0.0137375036223963	-0.0127566305668044	-0.0127566305668044	0.00473652688071279	-0.0117767186804554	-0.0137375036223963	-0.00203005282816121	-0.00884273124566813	-0.0137375036223963	0.0162309063064478	0.118443615673543
G440883536	-0.0134660612375075	-0.0134660612375075	-0.00467264844512193	-0.0134660612375075	-0.0124851881819156	-0.0134660612375075	-0.0134660612375075	-0.00857128886077924	0.0193554176737432	-0.0124851881819156	-0.0134660612375075	0.0334999250599078	0.00211361123923722	-0.0134660612375075	-0.0124851881819156	-0.0134660612375075	-0.0134660612375075	-0.0124851881819156	-0.0124851881819156	-0.00857128886077924	-0.0134660612375075	-0.00272901323655073	-0.0134660612375075	-0.0134660612375075	-0.0017586104432724	0.00885412785308001	-0.0134660612375075	-0.0134660612375075	-0.0124851881819156	-0.000789148418724311	-0.000789148418724311	-0.0115052762955666	-0.0134660612375075	-0.0134660612375075	0.0548068913728384	-0.0134660612375075	-0.00759520288772359	-0.00467264844512193	-0.0134660612375075	-0.0124851881819156	-0.00954832850860582	-0.0105263236965824	-0.0134660612375075	-0.0134660612375075	-0.0105263236965824	-0.0134660612375075	-0.0115052762955666	-0.0115052762955666	-0.0134660612375075	-0.0124851881819156	-0.0134660612375075	0.110079425808827	-0.0134660612375075	-0.0124851881819156	0.0455987231789762	-0.00857128886077924	-0.0134660612375075	0.0391021806085779	-0.0134660612375075	-0.0115052762955666	-0.0134660612375075	0.281062003722264	-0.0105263236965824	-0.0134660612375075	-0.00954832850860582	0.0250372511411744	-0.0134660612375075	-0.00564588453167408	0.0344358165648129
G445302374	-0.0127565355726272	-0.0029908329613024	-0.0117756625170353	-0.0127565355726272	-0.0117756625170353	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	0.06373188999111	-0.0117756625170353	-0.0127565355726272	0.133088331742019	-0.0127565355726272	-0.0117756625170353	-0.00981679803170234	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	-0.0117756625170353	-0.0127565355726272	-0.0127565355726272	0.00571749493048179	-0.0127565355726272	-0.0117756625170353	-0.0117756625170353	-0.0029908329613024	-0.00396312278024176	-0.00981679803170234	-0.0127565355726272	0.0853154616582843	-0.0117756625170353	-0.0127565355726272	-0.0127565355726272	-0.00981679803170234	-0.00981679803170234	-0.0127565355726272	-0.00981679803170234	-0.0127565355726272	-0.0127565355726272	-0.0117756625170353	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	-0.00883880284372565	-0.0049363588667939	-0.0127565355726272	-0.0127565355726272	-0.0117756625170353	-0.0127565355726272	-0.0117756625170353	-0.0117756625170353	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	-0.00786176319589909	-0.0117756625170353	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	-0.0117756625170353	-0.0127565355726272	0.383176865202042	-0.0117756625170353	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	-0.0127565355726272	0.0582624141865745
G440205477	-0.013728949670401	-0.013728949670401	-0.013728949670401	-0.013728949670401	-0.0127480766148092	-0.013728949670401	-8.35137734872565e-05	-0.0127480766148092	0.0691029498155111	-0.013728949670401	-0.013728949670401	0.0825621031895158	0.00378122533640158	-0.0127480766148092	-0.013728949670401	-0.013728949670401	-0.013728949670401	-0.013728949670401	0.0663892439439148	-0.013728949670401	-0.013728949670401	0.013378227977411	-0.013728949670401	-0.0127480766148092	0.0181424104045294	0.0453358347460826	-0.013728949670401	-0.013728949670401	-0.013728949670401	-0.0117681647284602	-0.013728949670401	-0.0117681647284602	-0.013728949670401	-0.013728949670401	-0.0127480766148092	-0.013728949670401	-0.013728949670401	0.0095504721076464	-0.0127480766148092	-0.013728949670401	-0.013728949670401	-0.010789212129476	-0.0127480766148092	-0.00981121694149941	-0.0127480766148092	-0.013728949670401	-0.00785809132061725	-0.013728949670401	-0.0127480766148092	-0.0127480766148092	-0.013728949670401	-0.0117681647284602	-0.013728949670401	-0.013728949670401	0.0763037010010934	0.117591954518731	-0.013728949670401	0.0114661815057855	-0.013728949670401	-0.0127480766148092	-0.013728949670401	0.0313626218326641	-0.013728949670401	-0.013728949670401	-0.013728949670401	0.0181424104045294	-0.013728949670401	-0.013728949670401	0.148937172134388
G441303538	0.00720493541136319	-0.00927629077242884	0.0110437117185286	-0.0131940235013305	-0.0122131504457386	-0.0131940235013305	-0.0131940235013305	-0.0122131504457386	0.0309590214194701	0.00720493541136319	-0.0112332385593897	0.00335136609537321	-0.00732316515154666	-0.0131940235013305	-0.0112332385593897	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	0.0205766723772521	-0.0131940235013305	-0.0122131504457386	-0.0131940235013305	-0.0112332385593897	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.00927629077242884	-0.0112332385593897	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	0.00720493541136319	-0.0131940235013305	-0.0122131504457386	-0.0131940235013305	-0.0122131504457386	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0131940235013305	-0.0102542859604055	-0.0122131504457386	0.0486421252755361	-0.0131940235013305	-0.0102542859604055	-0.0131940235013305	-0.0131940235013305	-0.00245697550037392	-0.0112332385593897	-0.0131940235013305	-0.0102542859604055	-0.0131940235013305	-0.0131940235013305	-0.0122131504457386	0.220298150872071	0.0750432945514894	-0.0131940235013305	-0.0122131504457386	-0.0131940235013305	-0.0131940235013305	-0.0102542859604055	0.27987098340668
G441502269	-0.0116481756510034	-0.0106673025954114	-0.00870843811007844	-0.0116481756510034	-0.0106673025954114	-0.0116481756510034	-0.00968739070906247	-0.0116481756510034	5.9275143231805e-05	-0.0116481756510034	-0.0116481756510034	-0.00382799894516994	-0.00870843811007844	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	-0.00382799894516994	-0.00382799894516994	-0.0116481756510034	0.00393149682574116	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	-0.0028547628586178	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	0.543893714678387	-0.0106673025954114	-0.00968739070906247	-0.0116481756510034	-0.0116481756510034	-0.00968739070906247	0.01450343575114	-0.00773044292210174	-0.00773044292210174	-0.0116481756510034	-0.0106673025954114	-0.0106673025954114	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	-0.0106673025954114	-0.0106673025954114	-0.0116481756510034	-0.00870843811007844	-0.0106673025954114	-0.00870843811007844	-0.0116481756510034	-0.00773044292210174	-0.0116481756510034	-0.0116481756510034	0.0125895595688559	-0.00870843811007844	-0.0116481756510034	0.00199726024591034	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	0.0427805318480016	-0.0106673025954114	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	-0.0116481756510034	0.017367399522569
G441424120	-0.0124540258690334	-0.0114741139826844	0.04932333382721	-0.0134348989246253	-0.0114741139826844	-0.0134348989246253	-0.0134348989246253	-0.00951716619572361	0.0316566725784397	-0.0134348989246253	-0.0134348989246253	0.0996484177147256	-0.00951716619572361	-0.0134348989246253	-0.0114741139826844	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.0104951613837004	-0.0134348989246253	-0.0134348989246253	0.0165335110042189	-0.0134348989246253	-0.0124540258690334	-0.0134348989246253	0.040064008414413	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.0124540258690334	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.00951716619572361	-0.0134348989246253	-0.0134348989246253	-0.0134348989246253	-0.00951716619572361	-0.0134348989246253	-0.0134348989246253	-0.0114741139826844	-0.0134348989246253	-0.0134348989246253	-0.0104951613837004	-0.0134348989246253	-0.00269785092366863	-0.0134348989246253	0.0108028362952341	-0.0134348989246253	-0.0114741139826844	0.0428508193215924	-0.0124540258690334	-0.0134348989246253	0.0222315321188566	-0.0134348989246253	-0.0114741139826844	-0.0134348989246253	0.275228046582748	-0.0114741139826844	-0.0134348989246253	-0.00366919631330048	0.000210536972288473	-0.0134348989246253	-0.0114741139826844	0.129011494430909
G440104539	-0.0130631204082104	-0.0111023354662695	0.00444705459859232	-0.0130631204082104	-0.0111023354662695	-0.0130631204082104	-0.0130631204082104	-0.0120822473526184	0.125118874160867	-0.0130631204082104	-0.0130631204082104	0.0506163468629457	-0.0120822473526184	-0.0130631204082104	-0.0111023354662695	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	0.0149987112500523	0.0121320107679762	-0.0130631204082104	0.00444705459859232	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.00135566961397532	-0.0130631204082104	-0.0130631204082104	-0.0111023354662695	0.000582315488703529	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	0.0235498322393025	-0.0120822473526184	-0.0130631204082104	0.0015499014374392	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0120822473526184	-0.0130631204082104	-0.0130631204082104	-0.0120822473526184	0.0226033106352716	-0.00914538767930867	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.00719226205842649	-0.0111023354662695	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	-0.0130631204082104	0.341057041753806	-0.0120822473526184	-0.0130631204082104	-0.0130631204082104	-0.00232607240725368	-0.0130631204082104	0.0751741976446096	0.00733583850448335
G441284559	-0.0127943699548318	-0.0127943699548318	-0.0118134968992399	-0.0127943699548318	-0.0118134968992399	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	0.0718425841728104	-0.0118134968992399	-0.0118134968992399	-0.00985463241390688	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0118134968992399	-0.0127943699548318	-0.0127943699548318	-0.00789959757810356	-0.0118134968992399	-0.0127943699548318	-0.0108335850128909	-0.00594837744684173	-0.0127943699548318	-0.0118134968992399	-0.0118134968992399	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	0.0646027335451234	-0.0108335850128909	0.0799252505374878	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.00887663722593016	-0.0108335850128909	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0118134968992399	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.00789959757810356	-0.0127943699548318	0.0104850518232157	-0.0127943699548318	0.353646276595225	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0118134968992399	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	0.133898314282154	-0.0127943699548318	-0.0127943699548318	-0.0127943699548318	-0.000117457136048624	-0.0127943699548318	0.0143128076929801	-0.000117457136048624
G440104534	-0.0115318745880945	-0.0105510015325026	-0.00761414185919281	-0.0115318745880945	-0.00957108964615361	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	0.0269714377905873	-0.0115318745880945	-0.0115318745880945	0.00114503823068878	-0.00859213704716949	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.00273846179570894	-0.0105510015325026	-0.0115318745880945	-0.0115318745880945	-0.00957108964615361	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.00957108964615361	-0.0115318745880945	-0.0115318745880945	0.00501351500860931	0.0203394854868361	-0.00663710221136625	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	0.559098315392498	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0115318745880945	-0.0046858820801044	-0.00371169788226107	-0.0115318745880945	-0.00761414185919281	-0.0115318745880945	-0.0115318745880945	-0.00663710221136625	-0.00859213704716949	-0.0115318745880945	-0.0115318745880945	-0.00566101623831063	-0.0115318745880945	-0.0115318745880945	0.014619736814049	-0.00957108964615361	-0.0115318745880945	-0.0105510015325026	-0.0105510015325026	-0.0115318745880945	-0.0115318745880945	0.0231871380993477
