"Outcome","Exposure","Model","Q1","Q2","Q3","Q4","p for trend","Effect (95% CI)","P value"
"T2DM","Serum_Zn_Q4","model1","(reference)","0.74 (0.52, 1.06)","0.87 (0.61, 1.23)","0.61 (0.42, 0.90)","0.032",NA,NA
"T2DM","Serum_Zn_Q4","model2","(reference)","0.76 (0.53, 1.09)","0.88 (0.62, 1.26)","0.62 (0.42, 0.91)","0.039",NA,NA
"T2DM","Serum_Zn_Q4","model3","(reference)","0.74 (0.51, 1.08)","0.87 (0.61, 1.26)","0.60 (0.40, 0.88)","0.029",NA,NA
"T2DM","psd_Serum_Zn","model1",NA,NA,NA,NA,NA,"0.87 (0.76, 0.99)","0.034"
"T2DM","psd_Serum_Zn","model2",NA,NA,NA,NA,NA,"0.87 (0.76, 0.99)","0.031"
"T2DM","psd_Serum_Zn","model3",NA,NA,NA,NA,NA,"0.85 (0.74, 0.97)","0.018"
"FPG","Serum_Zn_Q4","model1","(reference)","-0.14 (-0.30, 0.03)","-0.15 (-0.31, 0.01)","-0.11 (-0.27, 0.05)","0.195",NA,NA
"FPG","Serum_Zn_Q4","model2","(reference)","-0.13 (-0.29, 0.03)","-0.15 (-0.31, 0.02)","-0.11 (-0.27, 0.06)","0.205",NA,NA
"FPG","Serum_Zn_Q4","model3","(reference)","-0.13 (-0.29, 0.03)","-0.16 (-0.32, -0.00)","-0.13 (-0.29, 0.03)","0.106",NA,NA
"FPG","psd_Serum_Zn","model1",NA,NA,NA,NA,NA,"-0.07 (-0.12, -0.01)","0.029"
"FPG","psd_Serum_Zn","model2",NA,NA,NA,NA,NA,"-0.07 (-0.12, -0.01)","0.021"
"FPG","psd_Serum_Zn","model3",NA,NA,NA,NA,NA,"-0.08 (-0.14, -0.02)","0.007"
"IFG_or_T2DM","Serum_Zn_Q4","model1","(reference)","0.72 (0.54, 0.96)","0.86 (0.65, 1.14)","0.88 (0.67, 1.17)","0.624",NA,NA
"IFG_or_T2DM","Serum_Zn_Q4","model2","(reference)","0.73 (0.54, 0.98)","0.87 (0.65, 1.16)","0.90 (0.67, 1.19)","0.687",NA,NA
"IFG_or_T2DM","Serum_Zn_Q4","model3","(reference)","0.70 (0.52, 0.96)","0.83 (0.61, 1.11)","0.85 (0.63, 1.14)","0.455",NA,NA
"IFG_or_T2DM","psd_Serum_Zn","model1",NA,NA,NA,NA,NA,"0.96 (0.86, 1.06)","0.379"
"IFG_or_T2DM","psd_Serum_Zn","model2",NA,NA,NA,NA,NA,"0.95 (0.86, 1.06)","0.347"
"IFG_or_T2DM","psd_Serum_Zn","model3",NA,NA,NA,NA,NA,"0.93 (0.84, 1.03)","0.184"
