outcome,outcome_type,x_var,contrast,mediator,n,ACME_control,ACME_treated,ACME_avg,ACME_avg_CI_low,ACME_avg_CI_high,ACME_avg_p,ADE_control,ADE_treated,ADE_avg,ADE_avg_CI_low,ADE_avg_CI_high,ADE_avg_p,Total_Effect,Total_Effect_CI_low,Total_Effect_CI_high,Total_Effect_p,Prop_Mediated_control,Prop_Mediated_treated,Prop_Mediated_avg,Prop_Mediated_avg_CI_low,Prop_Mediated_avg_CI_high,ACME_sig,ADE_sig,Prop_Mediated_sig,Prop_Mediated_formatted
T2DM,binary,psd_Serum_Zn,1 vs 0,g_Prauseria,2916,-1.1478980651825936e-5,-1.0159156267442241e-5,-1.081906845963409e-5,-5.363945191277564e-4,4.975347420611706e-4,0.966,-0.011056685823707299,-0.011055365999322914,-0.011056025911515107,-0.018841905911671303,-0.0022044844702211156,0.014,-0.01106684497997474,-0.01878724726134607,-0.0020926794167221937,0.018,0.0010372405751229866,9.179812571536923e-4,9.776109161383395e-4,-0.0632833339673701,0.0727664023782682,,*,,0.10% (-6.33% to 7.28%)
T2DM,binary,psd_Serum_Zn,1 vs 0,g_SMB53,2916,-2.612932069868347e-4,-2.3231499525937222e-4,-2.468041011231035e-4,-9.607601911919596e-4,1.9884903105534275e-4,0.288,-0.010621301688329405,-0.010592323476601943,-0.010606812582465673,-0.01889865872766764,-0.001578358783916051,0.022,-0.010853616683588778,-0.01922511737057533,-0.0019505176414194006,0.024,0.02407429842090548,0.021404385471862512,0.022739341946383995,-0.027300895284109603,0.15659764830063552,,*,,2.27% (-2.73% to 15.66%)
T2DM,binary,psd_Serum_Zn,1 vs 0,g_Bilophila,2916,1.8962606713337804e-4,1.6723140997051706e-4,1.7842873855194755e-4,-1.7418749178524143e-4,7.191610096973989e-4,0.374,-0.011276972930604761,-0.011299367587767622,-0.011288170259186192,-0.019666524138326803,-0.0021511281460194053,0.018,-0.011109741520634243,-0.01940422772929009,-0.0020204338868030376,0.016,-0.017068449952789944,-0.0150526823382809,-0.016060566145535422,-0.12104238193001113,0.0209363744258629,,*,,-1.61% (-12.10% to 2.09%)
T2DM,binary,psd_Serum_Zn,1 vs 0,g_Sediminibacterium,2916,1.9443459269932636e-4,1.7168620509041055e-4,1.8306039889486844e-4,-8.351172172644391e-4,0.0011533173854856105,0.718,-0.0111972338923986,-0.011219982280007515,-0.011208608086203057,-0.018718322196073875,-0.0021457628730287824,0.014,-0.01102554768730819,-0.018475644888650528,-0.0017666421544197276,0.018,-0.01763491467395723,-0.015571671354525385,-0.016603293014241308,-0.19174118881237034,0.1279064929571975,,*,,-1.66% (-19.17% to 12.79%)
T2DM,binary,psd_Serum_Zn,1 vs 0,g_Bradyrhizobium,2916,-2.2454407648197524e-4,-1.9922296239040176e-4,-2.118835194361885e-4,-0.0011967067192387283,7.064487390547987e-4,0.66,-0.010772485860221519,-0.010747164746129946,-0.010759825303175732,-0.01867084677360471,-0.0013568441915226754,0.03,-0.010971708822611921,-0.01868622248927427,-0.0018830222166248698,0.024,0.02046573419987283,0.018157879106289916,0.019311806653081375,-0.10580441521615253,0.17544208850286744,,*,,1.93% (-10.58% to 17.54%)
T2DM,binary,psd_Serum_Zn,1 vs 0,g_Pseudidiomarina,2916,2.3172662162559435e-5,2.0501612474709173e-5,2.1837137318634302e-5,-2.7371987858734845e-4,2.773121853812383e-4,0.882,-0.011021095552526613,-0.011023766602214465,-0.01102243107737054,-0.018593697021692772,-0.0014469709891117154,0.022,-0.011000593940051904,-0.018569771170332823,-0.001446207509322149,0.022,-0.002106491912058532,-0.0018636823235575624,-0.001985087117808047,-0.03341182939503558,0.04019985447315737,,*,,-0.20% (-3.34% to 4.02%)
T2DM,binary,psd_Serum_Zn,1 vs 0,g_Ralstonia,2916,4.257043955887379e-4,3.74765445706707e-4,4.002349206477224e-4,-6.384087687116093e-4,0.0015536515045278935,0.472,-0.011447255376478751,-0.011498194326360782,-0.011472724851419766,-0.019611274773666754,-0.0020571969448257743,0.014,-0.011072489930772044,-0.019094021160747342,-0.00175775628416514,0.014,-0.03844703388762125,-0.03384653750419586,-0.036146785695908554,-0.28953796372330826,0.08046283974455475,,*,,-3.61% (-28.95% to 8.05%)
T2DM,binary,psd_Serum_Zn,1 vs 0,g_Phascolarctobacterium,2916,1.7044987739435776e-5,1.5078143695618694e-5,1.6061565717527234e-5,-2.2098717266837744e-4,2.5542016069884916e-4,0.902,-0.011025950422957731,-0.01102791726700155,-0.011026933844979641,-0.018627796984362788,-0.0025941441977684184,0.012,-0.011010872279262113,-0.01870924084971149,-0.0025071224111469378,0.012,-0.0015480142996062466,-0.0013693868490343751,-0.0014587005743203108,-0.0337456116514409,0.029713172103164046,,*,,-0.15% (-3.37% to 2.97%)
IFG_or_T2DM,binary,psd_Serum_Zn,1 vs 0,g_Prauseria,2916,-1.4751969676564879e-5,-1.4113134239486562e-5,-1.443255195802572e-5,-6.904737435704106e-4,7.224415389581719e-4,0.996,-0.008216435042575243,-0.008215796207138165,-0.008216115624856704,-0.020196984142383557,0.005887594676829901,0.248,-0.00823054817681473,-0.02023534469663338,0.005973557423564337,0.254,0.0017923435182751067,0.0017147259133046503,0.0017535347157898785,-0.1931951697844496,0.26127276739297606,,,,0.18% (-19.32% to 26.13%)
IFG_or_T2DM,binary,psd_Serum_Zn,1 vs 0,g_SMB53,2916,-4.1865422359557816e-5,-4.007120844525664e-5,-4.0968315402407227e-5,-4.971679609107174e-4,3.0044107313760104e-4,0.808,-0.008076084831218229,-0.008074290617303928,-0.00807518772426108,-0.01968880239773936,0.005314959087173205,0.238,-0.008116156039663485,-0.01975401568994479,0.0050785855187299505,0.234,0.005158282092527838,0.004937215136011367,0.0050477486142696025,-0.1798549505699408,0.1544428487734718,,,,0.50% (-17.99% to 15.44%)
