"Variable","Count","Percent","Levels","OR","Lower","Upper","P value","P for interaction"
"Age_group",NA,NA,NA,NA,NA,NA,NA,"0.596"
"<65","2202","82.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.65","0.38","1.11","0.116",NA
"","","","Serum_Zn_Q4=Q3","0.85","0.51","1.4","0.511",NA
"","","","Serum_Zn_Q4=Q4","1.26","0.79","2","0.331",NA
"≥65","468","17.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.91","0.36","2.34","0.847",NA
"","","","Serum_Zn_Q4=Q3","0.56","0.21","1.51","0.25",NA
"","","","Serum_Zn_Q4=Q4","1.05","0.45","2.48","0.91",NA
"Gender",NA,NA,NA,NA,NA,NA,NA,"0.984"
"Male","1185","44.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.69","0.35","1.34","0.273",NA
"","","","Serum_Zn_Q4=Q3","0.75","0.39","1.45","0.399",NA
"","","","Serum_Zn_Q4=Q4","1.23","0.69","2.18","0.491",NA
"Female","1485","55.6","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.65","0.34","1.24","0.192",NA
"","","","Serum_Zn_Q4=Q3","0.77","0.41","1.41","0.394",NA
"","","","Serum_Zn_Q4=Q4","1.13","0.63","2","0.682",NA
"Education",NA,NA,NA,NA,NA,NA,NA,"0.909"
"Junior_high_school_or_below","1950","73","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.64","0.38","1.08","0.097",NA
"","","","Serum_Zn_Q4=Q3","0.71","0.43","1.17","0.179",NA
"","","","Serum_Zn_Q4=Q4","1.23","0.8","1.91","0.349",NA
"High_school","439","16.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.71","0.22","2.25","0.557",NA
"","","","Serum_Zn_Q4=Q3","1.06","0.32","3.54","0.926",NA
"","","","Serum_Zn_Q4=Q4","0.88","0.25","3.09","0.846",NA
"Bachelor_degree_or_above","281","10.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.33","0.01","13.13","0.554",NA
"","","","Serum_Zn_Q4=Q3","1.72","0.04","75.74","0.779",NA
"","","","Serum_Zn_Q4=Q4","0.49","0.01","28.48","0.732",NA
"Marital_status",NA,NA,NA,NA,NA,NA,NA,"0.129"
"Married","2422","90.7","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.77","0.48","1.25","0.29",NA
"","","","Serum_Zn_Q4=Q3","0.77","0.48","1.24","0.291",NA
"","","","Serum_Zn_Q4=Q4","1.3","0.85","1.98","0.222",NA
"Other","248","9.3","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.08","0.01","1.01","0.051",NA
"","","","Serum_Zn_Q4=Q3","0.45","0.09","2.2","0.325",NA
"","","","Serum_Zn_Q4=Q4","0.22","0.03","1.65","0.142",NA
"family_income_cat",NA,NA,NA,NA,NA,NA,NA,"0.778"
"<3000","541","20.3","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.51","0.17","1.55","0.238",NA
"","","","Serum_Zn_Q4=Q3","0.46","0.16","1.37","0.165",NA
"","","","Serum_Zn_Q4=Q4","1.5","0.64","3.51","0.356",NA
"3000-5000","426","16","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.99","0.3","3.27","0.988",NA
"","","","Serum_Zn_Q4=Q3","1.12","0.34","3.74","0.849",NA
"","","","Serum_Zn_Q4=Q4","1.16","0.37","3.63","0.798",NA
"5000-10000","480","18","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.92","0.3","2.85","0.88",NA
"","","","Serum_Zn_Q4=Q3","0.44","0.11","1.69","0.233",NA
"","","","Serum_Zn_Q4=Q4","0.98","0.32","3.01","0.977",NA
">=10000","211","7.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.11","0","3.16","0.199",NA
"","","","Serum_Zn_Q4=Q3","0.7","0.08","5.88","0.745",NA
"","","","Serum_Zn_Q4=Q4","0.08","0","2.61","0.157",NA
"Declined to answer or unknown","1012","37.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.62","0.3","1.26","0.184",NA
"","","","Serum_Zn_Q4=Q3","0.79","0.41","1.53","0.488",NA
"","","","Serum_Zn_Q4=Q4","1.06","0.56","2.01","0.864",NA
"Smoking_status",NA,NA,NA,NA,NA,NA,NA,"0.876"
"Nonsmokers","1874","70.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.71","0.4","1.24","0.228",NA
"","","","Serum_Zn_Q4=Q3","0.71","0.41","1.25","0.238",NA
"","","","Serum_Zn_Q4=Q4","1.07","0.64","1.77","0.794",NA
"Former smokers","153","5.7","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.55","0.18","13.33","0.691",NA
"","","","Serum_Zn_Q4=Q3","0.52","0.07","4.1","0.538",NA
"","","","Serum_Zn_Q4=Q4","1.82","0.28","12","0.533",NA
"Current smokers","643","24.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.47","0.19","1.2","0.113",NA
"","","","Serum_Zn_Q4=Q3","0.88","0.38","2.05","0.765",NA
"","","","Serum_Zn_Q4=Q4","1.21","0.55","2.67","0.633",NA
"Dringking_status",NA,NA,NA,NA,NA,NA,NA,"0.792"
"Never drinking","1640","61.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.55","0.31","1","0.049",NA
"","","","Serum_Zn_Q4=Q3","0.71","0.41","1.22","0.215",NA
"","","","Serum_Zn_Q4=Q4","1.05","0.64","1.73","0.854",NA
"Drinking more than 30 days ago","333","12.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.36","0.08","1.65","0.187",NA
"","","","Serum_Zn_Q4=Q3","0.54","0.13","2.27","0.398",NA
"","","","Serum_Zn_Q4=Q4","1.07","0.29","3.89","0.923",NA
"Drinking within the past 30 days","697","26.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.38","0.52","3.7","0.518",NA
"","","","Serum_Zn_Q4=Q3","1.36","0.5","3.71","0.544",NA
"","","","Serum_Zn_Q4=Q4","1.81","0.7","4.65","0.22",NA
"act_sports_intense",NA,NA,NA,NA,NA,NA,NA,"0.547"
"No","2444","91.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.69","0.43","1.11","0.127",NA
"","","","Serum_Zn_Q4=Q3","0.72","0.45","1.15","0.169",NA
"","","","Serum_Zn_Q4=Q4","1.2","0.79","1.81","0.397",NA
"Yes","226","8.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.29","0.02","4.65","0.385",NA
"","","","Serum_Zn_Q4=Q3","2.24","0.21","24.06","0.504",NA
"","","","Serum_Zn_Q4=Q4","1.32","0.11","15.65","0.827",NA
"Family_diabetes_history",NA,NA,NA,NA,NA,NA,NA,"0.331"
"No","2484","93","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.75","0.47","1.22","0.246",NA
"","","","Serum_Zn_Q4=Q3","0.81","0.51","1.29","0.381",NA
"","","","Serum_Zn_Q4=Q4","1.21","0.79","1.86","0.377",NA
"Yes","186","7","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.1","0.01","1.29","0.078",NA
"","","","Serum_Zn_Q4=Q3","0.25","0.03","1.94","0.183",NA
"","","","Serum_Zn_Q4=Q4","1.23","0.24","6.4","0.802",NA
