"Variable","Count","Percent","Levels","OR","Lower","Upper","P value","P for interaction"
"Age_group",NA,NA,NA,NA,NA,NA,NA,"0.4"
"<65","2371","81.3","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.67","0.42","1.05","0.08",NA
"","","","Serum_Zn_Q4=Q3","0.92","0.6","1.4","0.686",NA
"","","","Serum_Zn_Q4=Q4","0.6","0.38","0.95","0.03",NA
"≥65","545","18.7","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.12","0.54","2.3","0.768",NA
"","","","Serum_Zn_Q4=Q3","0.74","0.36","1.54","0.422",NA
"","","","Serum_Zn_Q4=Q4","0.61","0.28","1.32","0.209",NA
"Gender",NA,NA,NA,NA,NA,NA,NA,"0.179"
"Male","1298","44.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.93","0.54","1.6","0.797",NA
"","","","Serum_Zn_Q4=Q3","0.72","0.41","1.27","0.255",NA
"","","","Serum_Zn_Q4=Q4","0.52","0.29","0.95","0.034",NA
"Female","1618","55.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.6","0.35","1.05","0.074",NA
"","","","Serum_Zn_Q4=Q3","1.02","0.63","1.67","0.921",NA
"","","","Serum_Zn_Q4=Q4","0.72","0.43","1.23","0.236",NA
"Education",NA,NA,NA,NA,NA,NA,NA,"0.334"
"Junior_high_school_or_below","2141","73.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.83","0.54","1.27","0.396",NA
"","","","Serum_Zn_Q4=Q3","0.85","0.56","1.28","0.432",NA
"","","","Serum_Zn_Q4=Q4","0.6","0.39","0.93","0.023",NA
"High_school","480","16.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.64","0.25","1.65","0.361",NA
"","","","Serum_Zn_Q4=Q3","1.32","0.54","3.24","0.54",NA
"","","","Serum_Zn_Q4=Q4","0.43","0.14","1.32","0.139",NA
"Bachelor_degree_or_above","295","10.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.17","0.01","2.48","0.195",NA
"","","","Serum_Zn_Q4=Q3","0.2","0.02","2.2","0.19",NA
"","","","Serum_Zn_Q4=Q4","2.07","0.24","17.6","0.507",NA
"Marital_status",NA,NA,NA,NA,NA,NA,NA,"0.859"
"Married","2647","90.8","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.77","0.52","1.14","0.194",NA
"","","","Serum_Zn_Q4=Q3","0.9","0.62","1.32","0.599",NA
"","","","Serum_Zn_Q4=Q4","0.6","0.4","0.9","0.014",NA
"Other","269","9.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.41","0.08","2.06","0.279",NA
"","","","Serum_Zn_Q4=Q3","0.71","0.16","3.15","0.65",NA
"","","","Serum_Zn_Q4=Q4","0.5","0.1","2.47","0.397",NA
"family_income_cat",NA,NA,NA,NA,NA,NA,NA,"0.801"
"<3000","581","19.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.49","0.18","1.38","0.178",NA
"","","","Serum_Zn_Q4=Q3","0.56","0.22","1.42","0.224",NA
"","","","Serum_Zn_Q4=Q4","0.43","0.16","1.11","0.081",NA
"3000-5000","467","16","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.95","0.35","2.59","0.921",NA
"","","","Serum_Zn_Q4=Q3","1.37","0.55","3.41","0.498",NA
"","","","Serum_Zn_Q4=Q4","0.75","0.28","1.99","0.56",NA
"5000-10000","521","17.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.19","0.48","2.95","0.708",NA
"","","","Serum_Zn_Q4=Q3","1.2","0.46","3.13","0.705",NA
"","","","Serum_Zn_Q4=Q4","0.41","0.13","1.29","0.128",NA
">=10000","233","8","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.36","0.08","1.62","0.181",NA
"","","","Serum_Zn_Q4=Q3","0.87","0.22","3.35","0.836",NA
"","","","Serum_Zn_Q4=Q4","0.15","0.02","1.1","0.062",NA
"Declined to answer or unknown","1114","38.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.69","0.38","1.26","0.231",NA
"","","","Serum_Zn_Q4=Q3","0.8","0.45","1.44","0.459",NA
"","","","Serum_Zn_Q4=Q4","0.74","0.41","1.35","0.331",NA
"Smoking_status",NA,NA,NA,NA,NA,NA,NA,"0.526"
"Nonsmokers","2041","70","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.62","0.39","0.98","0.042",NA
"","","","Serum_Zn_Q4=Q3","0.91","0.59","1.4","0.665",NA
"","","","Serum_Zn_Q4=Q4","0.54","0.33","0.86","0.011",NA
"Former smokers","175","6","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","2.88","0.57","14.71","0.202",NA
"","","","Serum_Zn_Q4=Q3","1","0.18","5.43","0.998",NA
"","","","Serum_Zn_Q4=Q4","1.39","0.32","6.14","0.662",NA
"Current smokers","700","24","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.08","0.5","2.33","0.853",NA
"","","","Serum_Zn_Q4=Q3","0.83","0.37","1.87","0.658",NA
"","","","Serum_Zn_Q4=Q4","0.62","0.25","1.5","0.286",NA
"Dringking_status",NA,NA,NA,NA,NA,NA,NA,"0.562"
"Never drinking","1820","62.4","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.69","0.44","1.08","0.106",NA
"","","","Serum_Zn_Q4=Q3","0.95","0.63","1.44","0.818",NA
"","","","Serum_Zn_Q4=Q4","0.52","0.33","0.84","0.007",NA
"Drinking more than 30 days ago","353","12.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","1.08","0.22","5.45","0.923",NA
"","","","Serum_Zn_Q4=Q3","0.9","0.19","4.41","0.902",NA
"","","","Serum_Zn_Q4=Q4","1.38","0.3","6.32","0.675",NA
"Drinking within the past 30 days","743","25.5","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.8","0.34","1.86","0.6",NA
"","","","Serum_Zn_Q4=Q3","0.54","0.21","1.41","0.21",NA
"","","","Serum_Zn_Q4=Q4","0.63","0.25","1.58","0.327",NA
"act_sports_intense",NA,NA,NA,NA,NA,NA,NA,"0.532"
"No","2680","91.9","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.76","0.52","1.12","0.164",NA
"","","","Serum_Zn_Q4=Q3","0.86","0.59","1.24","0.417",NA
"","","","Serum_Zn_Q4=Q4","0.6","0.4","0.89","0.012",NA
"Yes","236","8.1","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","2.08","0.03","132.84","0.729",NA
"","","","Serum_Zn_Q4=Q3","28.06","0.33","2393.1","0.142",NA
"","","","Serum_Zn_Q4=Q4","5.94","0.11","310.38","0.377",NA
"Family_diabetes_history",NA,NA,NA,NA,NA,NA,NA,"0.662"
"No","2690","92.2","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.75","0.5","1.12","0.156",NA
"","","","Serum_Zn_Q4=Q3","0.84","0.57","1.25","0.392",NA
"","","","Serum_Zn_Q4=Q4","0.63","0.41","0.95","0.029",NA
"Yes","226","7.8","Serum_Zn_Q4=Q1","Reference","","","",NA
"","","","Serum_Zn_Q4=Q2","0.67","0.2","2.3","0.529",NA
"","","","Serum_Zn_Q4=Q3","0.98","0.29","3.24","0.97",NA
"","","","Serum_Zn_Q4=Q4","0.22","0.05","0.93","0.04",NA
