"Variable","Count","Percent","OR","Lower","Upper","P value","P for interaction"
"Age_group","","","","","","","0.881"
"   <65","2371","81.3","0.94","0.83","1.06","0.289",""
"   ≥65","545","18.7","0.91","0.74","1.12","0.374",""
"Gender","","","","","","","0.432"
"   Male","1298","44.5","0.89","0.77","1.04","0.138",""
"   Female","1618","55.5","0.98","0.84","1.14","0.823",""
"Education","","","","","","","0.342"
"   Junior_high_school_or_below","2141","73.4","0.94","0.84","1.06","0.31",""
"   High_school","480","16.5","0.81","0.6","1.09","0.164",""
"   Bachelor_degree_or_above","295","10.1","1.47","0.7","3.11","0.312",""
"Marital_status","","","","","","","0.625"
"   Married","2647","90.8","0.94","0.84","1.05","0.252",""
"   Other","269","9.2","0.81","0.51","1.3","0.389",""
"family_income_cat","","","","","","","0.675"
"   <3000","581","19.9","0.97","0.77","1.24","0.818",""
"   3000-5000","467","16","0.99","0.75","1.31","0.933",""
"   5000-10000","521","17.9","0.87","0.66","1.15","0.329",""
"   >=10000","233","8","0.63","0.37","1.08","0.095",""
"   Declined to answer or unknown","1114","38.2","0.94","0.8","1.1","0.43",""
"Smoking_status","","","","","","","0.639"
"   Nonsmokers","2041","70","0.9","0.79","1.03","0.131",""
"   Former smokers","175","6","1.1","0.71","1.69","0.677",""
"   Current smokers","700","24","0.95","0.77","1.17","0.603",""
"Dringking_status","","","","","","","0.818"
"   Never drinking","1820","62.4","0.93","0.82","1.06","0.294",""
"   Drinking more than 30 days ago","353","12.1","1","0.68","1.47","0.998",""
"   Drinking within the past 30 days","743","25.5","0.89","0.7","1.12","0.318",""
"act_sports_intense","","","","","","","0.493"
"   No","2680","91.9","0.93","0.83","1.03","0.166",""
"   Yes","236","8.1","1.3","0.72","2.32","0.38",""
"Family_diabetes_history","","","","","","","0.674"
"   No","2690","92.2","0.94","0.84","1.05","0.25",""
"   Yes","226","7.8","0.78","0.54","1.14","0.207",""
