"Variable","Count","Percent","OR","Lower","Upper","P value","P for interaction"
"Age_group","","","","","","","0.686"
"   <65","2371","81.3","0.84","0.72","0.99","0.032",""
"   ≥65","545","18.7","0.85","0.66","1.1","0.22",""
"Gender","","","","","","","0.553"
"   Male","1298","44.5","0.81","0.67","0.99","0.037",""
"   Female","1618","55.5","0.92","0.76","1.11","0.383",""
"Education","","","","","","","0.651"
"   Junior_high_school_or_below","2141","73.4","0.83","0.72","0.97","0.017",""
"   High_school","480","16.5","0.87","0.61","1.24","0.432",""
"   Bachelor_degree_or_above","295","10.1","1.55","0.57","4.28","0.393",""
"Marital_status","","","","","","","0.976"
"   Married","2647","90.8","0.85","0.74","0.98","0.023",""
"   Other","269","9.2","0.87","0.48","1.57","0.636",""
"family_income_cat","","","","","","","0.492"
"   <3000","581","19.9","0.72","0.52","1.01","0.055",""
"   3000-5000","467","16","1","0.71","1.39","0.979",""
"   5000-10000","521","17.9","0.78","0.54","1.12","0.182",""
"   >=10000","233","8","0.65","0.34","1.22","0.182",""
"   Declined to answer or unknown","1114","38.2","0.9","0.73","1.11","0.322",""
"Smoking_status","","","","","","","0.304"
"   Nonsmokers","2041","70","0.81","0.69","0.96","0.014",""
"   Former smokers","175","6","1.26","0.69","2.3","0.458",""
"   Current smokers","700","24","0.87","0.66","1.16","0.343",""
"Dringking_status","","","","","","","0.11"
"   Never drinking","1820","62.4","0.84","0.72","0.98","0.028",""
"   Drinking more than 30 days ago","353","12.1","1.36","0.74","2.51","0.321",""
"   Drinking within the past 30 days","743","25.5","0.76","0.55","1.05","0.091",""
"act_sports_intense","","","","","","","0.28"
"   No","2680","91.9","0.84","0.73","0.96","0.012",""
"   Yes","236","8.1","2.36","0.81","6.87","0.114",""
"Family_diabetes_history","","","","","","","0.79"
"   No","2690","92.2","0.86","0.74","0.99","0.035",""
"   Yes","226","7.8","0.71","0.46","1.11","0.132",""
