"Variable","Count","Percent","Point Estimate","Lower","Upper","P value","P for interaction"
"age_group",NA,NA,NA,NA,NA,NA,"0.464"
"   <40","204/879 (23.2%)","58.6","1.04","0.92","1.17","0.55",NA
"   ≥40","143/621 (23%)","41.4","0.95","0.83","1.09","0.472",NA
"sex",NA,NA,NA,NA,NA,NA,"0.392"
"   Female","172/754 (22.8%)","50.27","1.04","0.91","1.18","0.559",NA
"   Male","175/746 (23.5%)","49.73","0.97","0.86","1.1","0.643",NA
"job_level",NA,NA,NA,NA,NA,NA,"0.507"
"   Junior","125/505 (24.8%)","33.67","1.07","0.92","1.25","0.378",NA
"   Mid","113/516 (21.9%)","34.4","1.04","0.89","1.22","0.598",NA
"   Senior","109/479 (22.8%)","31.93","0.93","0.79","1.1","0.403",NA
"marital",NA,NA,NA,NA,NA,NA,"0.841"
"   Married","173/741 (23.3%)","49.4","1","0.88","1.14","0.972",NA
"   Single","174/759 (22.9%)","50.6","1.02","0.9","1.15","0.781",NA
"income",NA,NA,NA,NA,NA,NA,"0.454"
"   High","122/498 (24.5%)","33.2","1.04","0.89","1.21","0.641",NA
"   Low","106/487 (21.8%)","32.47","0.95","0.8","1.13","0.56",NA
"   Mid","119/515 (23.1%)","34.33","0.95","0.81","1.11","0.511",NA
"stress_index_group",NA,NA,NA,NA,NA,NA,"0.696"
"   Low","168/750 (22.4%)","50","1.02","0.89","1.17","0.758",NA
"   High","179/750 (23.9%)","50","0.99","0.87","1.11","0.823",NA
"workload_group",NA,NA,NA,NA,NA,NA,"0.033"
"   Low","151/750 (20.1%)","50","1.11","0.97","1.28","0.133",NA
"   High","196/750 (26.1%)","50","0.91","0.81","1.02","0.115",NA
"department",NA,NA,NA,NA,NA,NA,"0.058"
"   Finance","85/347 (24.5%)","23.13","0.83","0.67","1.01","0.069",NA
"   HR","84/382 (22%)","25.47","1.02","0.86","1.22","0.796",NA
"   IT","89/400 (22.2%)","26.67","1.21","0.99","1.49","0.066",NA
"   Sales","89/371 (24%)","24.73","0.96","0.81","1.14","0.64",NA
"caffeine",NA,NA,NA,NA,NA,NA,"0.977"
"   No","183/784 (23.3%)","52.27","1.02","0.9","1.15","0.734",NA
"   Yes","164/716 (22.9%)","47.73","1","0.87","1.14","0.968",NA
"alcohol",NA,NA,NA,NA,NA,NA,"0.385"
"   No","176/754 (23.3%)","50.27","1.06","0.93","1.21","0.397",NA
"   Yes","171/746 (22.9%)","49.73","0.97","0.86","1.1","0.637",NA
"insomnia",NA,NA,NA,NA,NA,NA,"0.122"
"   0","169/753 (22.4%)","50.2","1.09","0.96","1.24","0.206",NA
"   1","178/747 (23.8%)","49.8","0.92","0.82","1.05","0.212",NA
"anxiety",NA,NA,NA,NA,NA,NA,"0.617"
"   0","180/766 (23.5%)","51.07","0.98","0.87","1.11","0.775",NA
"   1","167/734 (22.8%)","48.93","1.02","0.9","1.17","0.732",NA
