"term","OR_CI_Model1","OR_CI_Model2","OR_CI_Model3","pval_Model1","pval_Model2","pval_Model3","var_site_Model1","var_res_latent_Model1","ICC_Model1","N_Model1","clusters_Model1","AIC_Model1","BIC_Model1","var_site_Model2","var_res_latent_Model2","ICC_Model2","N_Model2","clusters_Model2","AIC_Model2","BIC_Model2","var_site_Model3","var_res_latent_Model3","ICC_Model3","N_Model3","clusters_Model3","AIC_Model3","BIC_Model3"
"(Intercept)","0.317 (0.234, 0.43)","0.384 (0.259, 0.571)","0.397 (0.205, 0.77)",1.34e-13,2.18e-06,0.00627,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryCarbonated_beverage","0.894 (0.64, 1.249)","0.766 (0.546, 1.074)","0.766 (0.542, 1.084)",0.512,0.122,0.132,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryColored_fruit_flavored_beverage","0.951 (0.608, 1.488)","0.835 (0.531, 1.314)","0.862 (0.542, 1.371)",0.825,0.436,0.53,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryFruit_and_vegetable_juice","0.89 (0.617, 1.283)","0.856 (0.591, 1.24)","0.803 (0.549, 1.174)",0.532,0.412,0.258,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryDairy_based_beverages","0.865 (0.621, 1.206)","0.816 (0.583, 1.142)","0.801 (0.568, 1.13)",0.392,0.236,0.207,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryPlant_protein_beverages","1.092 (0.765, 1.56)","1.013 (0.706, 1.453)","1.002 (0.693, 1.449)",0.628,0.945,0.991,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryTea_beverages","1.037 (0.718, 1.499)","0.937 (0.646, 1.359)","0.888 (0.605, 1.301)",0.845,0.732,0.542,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryBrewed_tea_or_coffee","0.886 (0.418, 1.88)","0.811 (0.38, 1.732)","0.687 (0.312, 1.516)",0.753,0.588,0.353,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryOther_beverages","0.665 (0.407, 1.086)","0.631 (0.384, 1.035)","0.612 (0.367, 1.019)",0.103,0.068,0.059,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
"soft_drink_categoryMixed","0.9 (0.67, 1.209)","0.831 (0.617, 1.12)","0.8 (0.589, 1.088)",0.483,0.225,0.154,0.268333874803,3.28986813369645,0.075,12246,130,12999.760672777,13081.3031737294,0.267615392707349,3.28986813369645,0.075,12246,130,12781.4829122167,12877.8513224332,0.204420847258365,3.28986813369645,0.059,11900,130,12402.7365512725,12690.7240047574
