"term","OR_CI_Model1","OR_CI_Model2","OR_CI_Model3","pval_Model1","pval_Model2","pval_Model3","var_site_Model1","var_res_latent_Model1","ICC_Model1","N_Model1","clusters_Model1","AIC_Model1","BIC_Model1","var_site_Model2","var_res_latent_Model2","ICC_Model2","N_Model2","clusters_Model2","AIC_Model2","BIC_Model2","var_site_Model3","var_res_latent_Model3","ICC_Model3","N_Model3","clusters_Model3","AIC_Model3","BIC_Model3"
"(Intercept)","0.126 (0.085, 0.187)","0.196 (0.118, 0.325)","0.21 (0.089, 0.493)",9.69e-25,2.94e-10,0.000337,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryCarbonated_beverage","0.99 (0.639, 1.534)","0.83 (0.534, 1.292)","0.836 (0.533, 1.312)",0.964,0.41,0.436,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryColored_fruit_flavored_beverage","1.475 (0.852, 2.553)","1.253 (0.719, 2.185)","1.275 (0.72, 2.258)",0.165,0.426,0.405,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryFruit_and_vegetable_juice","1.203 (0.757, 1.912)","1.135 (0.711, 1.812)","1.112 (0.69, 1.794)",0.433,0.597,0.663,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryDairy_based_beverages","0.927 (0.6, 1.433)","0.845 (0.544, 1.312)","0.852 (0.544, 1.333)",0.733,0.453,0.483,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryPlant_protein_beverages","1.21 (0.762, 1.923)","1.097 (0.687, 1.749)","1.084 (0.673, 1.745)",0.418,0.699,0.741,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryTea_beverages","1.193 (0.741, 1.921)","1.054 (0.652, 1.705)","0.966 (0.588, 1.588)",0.468,0.831,0.892,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryBrewed_tea_or_coffee","0.822 (0.293, 2.31)","0.753 (0.266, 2.133)","0.756 (0.266, 2.15)",0.71,0.593,0.6,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryOther_beverages","1.034 (0.569, 1.879)","0.985 (0.539, 1.8)","1.036 (0.563, 1.908)",0.914,0.962,0.908,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
"soft_drink_categoryMixed","1.057 (0.718, 1.556)","0.957 (0.648, 1.412)","0.948 (0.636, 1.412)",0.778,0.823,0.793,0.369846595366434,3.28986813369645,0.101,12080,130,9074.72487975,9156.11725093637,0.367768639438058,3.28986813369645,0.101,12080,130,8878.70194676168,8974.89293089104,0.351700452961816,3.28986813369645,0.097,11740,130,8642.68604790342,8930.14557454533
