"term","est_ci_Model1","est_ci_Model2","est_ci_Model3","pval_Model1","pval_Model2","pval_Model3","var_site_Model1","var_res_Model1","ICC_Model1","N_Model1","clusters_Model1","AIC_Model1","BIC_Model1","var_site_Model2","var_res_Model2","ICC_Model2","N_Model2","clusters_Model2","AIC_Model2","BIC_Model2","var_site_Model3","var_res_Model3","ICC_Model3","N_Model3","clusters_Model3","AIC_Model3","BIC_Model3"
"(Intercept)","0.421 (0.414, 0.428)","0.437 (0.429, 0.446)","0.435 (0.42, 0.451)",0,0,0,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryCarbonated_beverage","0.002 (-0.004, 0.009)","-0.001 (-0.008, 0.006)","0 (-0.007, 0.007)",0.492,0.758,0.96,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryColored_fruit_flavored_beverage","0.006 (-0.003, 0.015)","0.003 (-0.006, 0.012)","0.004 (-0.005, 0.013)",0.172,0.468,0.416,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryFruit_and_vegetable_juice","0.002 (-0.005, 0.01)","0.001 (-0.006, 0.008)","0.001 (-0.007, 0.008)",0.546,0.808,0.833,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryDairy_based_beverages","-0.001 (-0.007, 0.006)","-0.002 (-0.009, 0.004)","-0.002 (-0.009, 0.005)",0.854,0.488,0.579,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryPlant_protein_beverages","0.004 (-0.003, 0.011)","0.002 (-0.005, 0.009)","0.003 (-0.005, 0.01)",0.288,0.601,0.505,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryTea_beverages","0.004 (-0.004, 0.012)","0.002 (-0.005, 0.01)","0.002 (-0.006, 0.009)",0.293,0.576,0.649,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryBrewed_tea_or_coffee","0 (-0.015, 0.015)","-0.001 (-0.015, 0.014)","0 (-0.015, 0.015)",0.969,0.942,0.999,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryOther_beverages","0.003 (-0.007, 0.012)","0.001 (-0.008, 0.011)","0.001 (-0.008, 0.011)",0.583,0.76,0.767,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
"soft_drink_categoryMixed","0.001 (-0.005, 0.007)","-0.001 (-0.007, 0.005)","0 (-0.006, 0.006)",0.731,0.839,0.954,0.000502467578645917,0.00224890139015171,0.183,12080,130,-38964.874575668,-38876.0828980102,0.000510720154101601,0.0021844261701079,0.189,12080,130,-39306.7591674263,-39203.1688768255,0.000515308288801029,0.00217425485392187,0.192,11740,130,-38193.414357936,-37898.5840742007
