"term","Model1_Val","Model1_P","Model2_Val","Model2_P","Model3_Val","Model3_P"
"(Intercept)","0.34 (0.26, 0.46)","0.000","0.48 (0.32, 0.73)","0.001","0.41 (0.22, 0.78)","0.007"
"soft_drink_categoryCarbonated_beverage","0.91 (0.64, 1.28)","0.579","0.78 (0.55, 1.10)","0.156","0.76 (0.54, 1.07)","0.114"
"soft_drink_categoryColored_fruit_flavored_beverage","0.98 (0.61, 1.58)","0.943","0.87 (0.55, 1.39)","0.568","0.90 (0.58, 1.39)","0.633"
"soft_drink_categoryFruit_and_vegetable_juice","1.00 (0.71, 1.40)","0.984","0.94 (0.67, 1.32)","0.730","0.83 (0.59, 1.17)","0.288"
"soft_drink_categoryDairy_based_beverages","0.89 (0.65, 1.22)","0.463","0.83 (0.60, 1.13)","0.237","0.79 (0.58, 1.09)","0.148"
"soft_drink_categoryPlant_protein_beverages","1.09 (0.76, 1.55)","0.652","1.00 (0.70, 1.42)","0.988","0.96 (0.67, 1.37)","0.813"
"soft_drink_categoryTea_beverages","1.03 (0.73, 1.46)","0.844","0.94 (0.66, 1.32)","0.708","0.88 (0.62, 1.25)","0.472"
"soft_drink_categoryBrewed_tea_or_coffee","0.89 (0.41, 1.91)","0.763","0.83 (0.38, 1.85)","0.651","0.71 (0.31, 1.65)","0.426"
"soft_drink_categoryOther_beverages","0.71 (0.43, 1.18)","0.188","0.66 (0.40, 1.10)","0.112","0.63 (0.38, 1.06)","0.082"
"soft_drink_categoryMixed","0.86 (0.64, 1.15)","0.314","0.79 (0.59, 1.06)","0.115","0.76 (0.57, 1.02)","0.065"
