"term","Model1_Val","Model1_P","Model2_Val","Model2_P","Model3_Val","Model3_P"
"(Intercept)","0.06 (0.03, 0.10)","0.000","0.20 (0.11, 0.38)","0.000","0.08 (0.03, 0.23)","0.000"
"soft_drink_categoryCarbonated_beverage","1.50 (0.86, 2.61)","0.151","1.12 (0.64, 1.94)","0.699","1.13 (0.64, 1.99)","0.678"
"soft_drink_categoryColored_fruit_flavored_beverage","2.02 (1.04, 3.91)","0.038","1.57 (0.83, 2.96)","0.162","1.72 (0.91, 3.24)","0.096"
"soft_drink_categoryFruit_and_vegetable_juice","1.87 (1.06, 3.30)","0.031","1.59 (0.91, 2.78)","0.102","1.59 (0.88, 2.88)","0.123"
"soft_drink_categoryDairy_based_beverages","1.20 (0.66, 2.21)","0.550","0.98 (0.54, 1.79)","0.947","0.97 (0.52, 1.79)","0.916"
"soft_drink_categoryPlant_protein_beverages","1.95 (1.09, 3.48)","0.025","1.60 (0.91, 2.81)","0.104","1.56 (0.87, 2.79)","0.135"
"soft_drink_categoryTea_beverages","1.85 (0.92, 3.71)","0.082","1.56 (0.78, 3.11)","0.211","1.52 (0.75, 3.08)","0.245"
"soft_drink_categoryBrewed_tea_or_coffee","0.76 (0.16, 3.53)","0.728","0.70 (0.15, 3.37)","0.661","0.72 (0.15, 3.42)","0.677"
"soft_drink_categoryOther_beverages","1.49 (0.71, 3.09)","0.289","1.29 (0.63, 2.64)","0.488","1.31 (0.61, 2.82)","0.489"
"soft_drink_categoryMixed","1.35 (0.81, 2.24)","0.256","1.12 (0.68, 1.84)","0.670","1.15 (0.68, 1.95)","0.590"
