"term","Model1_Val","Model1_P","Model2_Val","Model2_P","Model3_Val","Model3_P"
"(Intercept)","0.15 (0.10, 0.23)","0.000","0.27 (0.16, 0.48)","0.000","0.27 (0.11, 0.65)","0.003"
"soft_drink_categoryCarbonated_beverage","0.93 (0.62, 1.42)","0.748","0.78 (0.51, 1.19)","0.254","0.78 (0.52, 1.17)","0.227"
"soft_drink_categoryColored_fruit_flavored_beverage","1.48 (0.89, 2.44)","0.128","1.28 (0.77, 2.14)","0.343","1.27 (0.77, 2.10)","0.345"
"soft_drink_categoryFruit_and_vegetable_juice","1.30 (0.81, 2.09)","0.271","1.20 (0.75, 1.93)","0.444","1.14 (0.72, 1.82)","0.569"
"soft_drink_categoryDairy_based_beverages","0.90 (0.58, 1.39)","0.623","0.81 (0.52, 1.27)","0.357","0.81 (0.52, 1.26)","0.349"
"soft_drink_categoryPlant_protein_beverages","1.13 (0.72, 1.78)","0.582","1.02 (0.64, 1.62)","0.929","0.99 (0.63, 1.54)","0.953"
"soft_drink_categoryTea_beverages","1.13 (0.69, 1.85)","0.626","1.01 (0.61, 1.67)","0.961","0.92 (0.54, 1.57)","0.753"
"soft_drink_categoryBrewed_tea_or_coffee","0.79 (0.28, 2.18)","0.644","0.74 (0.26, 2.09)","0.571","0.74 (0.27, 2.03)","0.555"
"soft_drink_categoryOther_beverages","1.05 (0.56, 1.95)","0.888","0.97 (0.53, 1.80)","0.935","1.02 (0.55, 1.90)","0.944"
"soft_drink_categoryMixed","0.97 (0.65, 1.44)","0.873","0.87 (0.58, 1.31)","0.516","0.87 (0.58, 1.30)","0.491"
