"term","Model1_Val","Model1_P","Model2_Val","Model2_P","Model3_Val","Model3_P"
"(Intercept)","0.42 (0.42, 0.43)","0.000","0.44 (0.43, 0.45)","0.000","0.44 (0.41, 0.46)","0.000"
"soft_drink_categoryCarbonated_beverage","0.00 (-0.01, 0.01)","0.976","-0.00 (-0.01, 0.00)","0.309","-0.00 (-0.01, 0.00)","0.446"
"soft_drink_categoryColored_fruit_flavored_beverage","0.01 (-0.00, 0.02)","0.122","0.00 (-0.00, 0.01)","0.375","0.00 (-0.01, 0.01)","0.426"
"soft_drink_categoryFruit_and_vegetable_juice","0.00 (-0.01, 0.01)","0.503","0.00 (-0.01, 0.01)","0.806","0.00 (-0.01, 0.01)","0.889"
"soft_drink_categoryDairy_based_beverages","-0.00 (-0.01, 0.01)","0.812","-0.00 (-0.01, 0.00)","0.401","-0.00 (-0.01, 0.00)","0.515"
"soft_drink_categoryPlant_protein_beverages","0.00 (-0.01, 0.01)","0.563","0.00 (-0.01, 0.01)","0.988","0.00 (-0.01, 0.01)","0.959"
"soft_drink_categoryTea_beverages","0.00 (-0.00, 0.01)","0.373","0.00 (-0.01, 0.01)","0.731","0.00 (-0.01, 0.01)","0.901"
"soft_drink_categoryBrewed_tea_or_coffee","-0.00 (-0.02, 0.01)","0.977","-0.00 (-0.02, 0.01)","0.900","-0.00 (-0.01, 0.01)","0.950"
"soft_drink_categoryOther_beverages","0.00 (-0.01, 0.01)","0.756","0.00 (-0.01, 0.01)","0.977","0.00 (-0.01, 0.01)","0.962"
"soft_drink_categoryMixed","-0.00 (-0.01, 0.01)","0.937","-0.00 (-0.01, 0.00)","0.504","-0.00 (-0.01, 0.00)","0.556"
