"term","Model1_Val","Model1_P","Model2_Val","Model2_P","Model3_Val","Model3_P"
"(Intercept)","0.24 (0.09, 0.39)","0.002","0.38 (0.15, 0.62)","0.001","0.24 (-0.13, 0.61)","0.199"
"soft_drink_categoryCarbonated_beverage","-0.04 (-0.22, 0.14)","0.658","-0.11 (-0.29, 0.07)","0.236","-0.12 (-0.29, 0.05)","0.168"
"soft_drink_categoryColored_fruit_flavored_beverage","0.09 (-0.13, 0.31)","0.425","0.04 (-0.18, 0.26)","0.721","0.06 (-0.15, 0.27)","0.577"
"soft_drink_categoryFruit_and_vegetable_juice","0.03 (-0.15, 0.20)","0.766","0.00 (-0.17, 0.17)","0.966","-0.05 (-0.22, 0.12)","0.550"
"soft_drink_categoryDairy_based_beverages","-0.11 (-0.26, 0.05)","0.168","-0.13 (-0.28, 0.02)","0.080","-0.15 (-0.30, 0.00)","0.054"
"soft_drink_categoryPlant_protein_beverages","-0.03 (-0.22, 0.16)","0.729","-0.07 (-0.25, 0.12)","0.459","-0.09 (-0.27, 0.10)","0.358"
"soft_drink_categoryTea_beverages","0.05 (-0.14, 0.23)","0.628","0.00 (-0.18, 0.18)","0.990","-0.03 (-0.21, 0.15)","0.758"
"soft_drink_categoryBrewed_tea_or_coffee","0.10 (-0.22, 0.42)","0.552","0.07 (-0.25, 0.38)","0.667","0.01 (-0.30, 0.33)","0.928"
"soft_drink_categoryOther_beverages","-0.09 (-0.34, 0.15)","0.459","-0.12 (-0.36, 0.13)","0.339","-0.12 (-0.36, 0.13)","0.358"
"soft_drink_categoryMixed","-0.09 (-0.24, 0.06)","0.229","-0.13 (-0.28, 0.02)","0.099","-0.14 (-0.29, 0.00)","0.058"
