"Variable","Count","Percent","Point Estimate","Lower","Upper","P value","P for interaction"
"Age_group","","","","","","","0.403"
"   <65","49/2784 (1.8%)","73.59","0.94","0.76","1.17","0.591",""
"   ≥65","98/995 (9.8%)","26.41","0.86","0.71","1.04","0.119",""
"Gender","","","","","","","0.694"
"   1","80/1921 (4.2%)","50.82","0.88","0.72","1.08","0.21",""
"   2","67/1858 (3.6%)","49.18","0.91","0.74","1.13","0.412",""
"Education","","","","","","","0.546"
"   1","35/887 (3.9%)","23.23","0.97","0.72","1.3","0.824",""
"   2","61/1321 (4.6%)","35.14","0.93","0.73","1.17","0.513",""
"   3","51/1571 (3.2%)","41.64","0.87","0.68","1.1","0.249",""
"Marriage","","","","","","","0.499"
"   1","60/2017 (3%)","53.47","1","0.82","1.24","0.964",""
"   2","19/599 (3.2%)","15.73","0.96","0.64","1.46","0.864",""
"   3","68/1163 (5.8%)","30.8","0.79","0.63","1","0.047",""
"Economic.status","","","","","","","0.077"
"   1","38/1021 (3.7%)","26.33","0.7","0.51","0.96","0.027",""
"   2","84/1670 (5%)","44.61","1.06","0.88","1.29","0.526",""
"   3","25/1088 (2.3%)","29.06","0.78","0.54","1.1","0.159",""
"DEI_group","","","","","","","0.33"
"   1","98/1883 (5.2%)","49.75","0.92","0.77","1.09","0.318",""
"   2","49/1896 (2.6%)","50.25","0.89","0.69","1.14","0.353",""
"BMI","","","","","","","0.051"
"   1","38/1001 (3.8%)","26.49","0.59","0.42","0.83","0.003",""
"   2","109/2778 (3.9%)","73.51","1.02","0.87","1.19","0.842",""
"Racial","","","","","","","0.168"
"   1","46/1547 (3%)","40.75","0.76","0.58","0.99","0.045",""
"   2","58/1008 (5.8%)","26.87","1.06","0.85","1.32","0.606",""
"   3","37/949 (3.9%)","25.15","0.91","0.67","1.24","0.563",""
"   4","6/275 (2.2%)","7.23","1.1","0.28","4.37","0.888",""
"Smoking","","","","","","","0.07"
"   0","77/2138 (3.6%)","56.57","0.79","0.64","0.98","0.031",""
"   1","70/1641 (4.3%)","43.43","1.02","0.84","1.25","0.823",""
"Drinking","","","","","","","0.771"
"   1","136/3286 (4.1%)","86.97","0.9","0.77","1.04","0.157",""
"   2","11/493 (2.2%)","13.03","2.58","1.56","4.25","<0.001",""
"HBP","","","","","","","0.728"
"   0","30/1220 (2.5%)","32.3","0.94","0.68","1.3","0.712",""
"   1","117/2559 (4.6%)","67.7","0.91","0.78","1.08","0.277",""
"DM","","","","","","","0.384"
"   0","72/2308 (3.1%)","60.93","0.93","0.76","1.14","0.5",""
"   1","75/1471 (5.1%)","39.07","0.85","0.68","1.05","0.13",""
