"Variable","Count","Percent","Levels","Point Estimate","Lower","Upper","KM","P value","P for interaction"
"Age_group","","","","","","","","","0.696"
"<65","49/2784 (1.8%)","73.59","Eating_frequency_cat=T2","Reference","","","8.53","",""
"","","","Eating_frequency_cat=T1","1.26","0.59","2.69","4.46","0.556",""
"","","","Eating_frequency_cat=T3","0.72","0.35","1.48","1.84","0.369",""
"≥65","98/995 (9.8%)","26.41","Eating_frequency_cat=T2","Reference","","","27.54","",""
"","","","Eating_frequency_cat=T1","1.16","0.65","2.06","39.97","0.609",""
"","","","Eating_frequency_cat=T3","0.54","0.3","0.97","11.11","0.041",""
"Gender","","","","","","","","","0.615"
"1","80/1921 (4.2%)","50.82","Eating_frequency_cat=T2","Reference","","","16.17","",""
"","","","Eating_frequency_cat=T1","1.62","0.87","2.98","14.58","0.125",""
"","","","Eating_frequency_cat=T3","0.69","0.37","1.27","4.31","0.235",""
"2","67/1858 (3.6%)","49.18","Eating_frequency_cat=T2","Reference","","","10.49","",""
"","","","Eating_frequency_cat=T1","0.98","0.48","1.99","9.42","0.949",""
"","","","Eating_frequency_cat=T3","0.55","0.28","1.08","3.35","0.083",""
"Education","","","","","","","","","0.249"
"1","35/887 (3.9%)","23.23","Eating_frequency_cat=T2","Reference","","","18.94","",""
"","","","Eating_frequency_cat=T1","1.14","0.45","2.88","16.67","0.777",""
"","","","Eating_frequency_cat=T3","0.59","0.2","1.75","7.21","0.341",""
"2","61/1321 (4.6%)","35.14","Eating_frequency_cat=T2","Reference","","","9.35","",""
"","","","Eating_frequency_cat=T1","0.71","0.3","1.66","7.25","0.431",""
"","","","Eating_frequency_cat=T3","0.62","0.32","1.22","4.65","0.165",""
"3","51/1571 (3.2%)","41.64","Eating_frequency_cat=T2","Reference","","","10.77","",""
"","","","Eating_frequency_cat=T1","2.04","1","4.19","14.01","0.051",""
"","","","Eating_frequency_cat=T3","0.7","0.33","1.51","2.16","0.366",""
"Marriage","","","","","","","","","0.65"
"1","60/2017 (3%)","53.47","Eating_frequency_cat=T2","Reference","","","8.65","",""
"","","","Eating_frequency_cat=T1","1","0.47","2.14","14.4","0.995",""
"","","","Eating_frequency_cat=T3","0.78","0.41","1.5","2.73","0.46",""
"2","19/599 (3.2%)","15.73","Eating_frequency_cat=T2","Reference","","","18.83","",""
"","","","Eating_frequency_cat=T1","1.78","0.51","6.24","7.44","0.368",""
"","","","Eating_frequency_cat=T3","1.4","0.38","5.07","3.05","0.611",""
"3","68/1163 (5.8%)","30.8","Eating_frequency_cat=T2","Reference","","","13.76","",""
"","","","Eating_frequency_cat=T1","1.33","0.68","2.6","13.21","0.409",""
"","","","Eating_frequency_cat=T3","0.43","0.2","0.92","7.12","0.03",""
"Economic.status","","","","","","","","","0.426"
"1","38/1021 (3.7%)","26.33","Eating_frequency_cat=T2","Reference","","","10.56","",""
"","","","Eating_frequency_cat=T1","1.88","0.84","4.19","11.14","0.125",""
"","","","Eating_frequency_cat=T3","0.61","0.22","1.67","4.44","0.339",""
"2","84/1670 (5%)","44.61","Eating_frequency_cat=T2","Reference","","","17.04","",""
"","","","Eating_frequency_cat=T1","1","0.52","1.94","15","0.999",""
"","","","Eating_frequency_cat=T3","0.83","0.47","1.48","5.93","0.535",""
"3","25/1088 (2.3%)","29.06","Eating_frequency_cat=T2","Reference","","","5.95","",""
