"Variable","Count","Percent","Levels","Point Estimate","Lower","Upper","KM","P value","P for interaction"
"Age_group","","","","","","","","","0.622"
"<65","49/2784 (1.8%)","73.67","Eating_time_window_cat=T2","Reference","","","1.78","",""
"","","","Eating_time_window_cat=T1","3.23","1.42","7.34","13.05","0.005",""
"","","","Eating_time_window_cat=T3","1.35","0.61","2.99","2.37","0.46",""
"≥65","98/995 (9.8%)","26.33","Eating_time_window_cat=T2","Reference","","","10.37","",""
"","","","Eating_time_window_cat=T1","3.02","1.56","5.83","37.29","0.001",""
"","","","Eating_time_window_cat=T3","2.12","1.17","3.82","28.4","0.013",""
"Gender","","","","","","","","","0.78"
"1","80/1921 (4.2%)","50.83","Eating_time_window_cat=T2","Reference","","","3.08","",""
"","","","Eating_time_window_cat=T1","4.18","2","8.75","33.68","<0.001",""
"","","","Eating_time_window_cat=T3","2.09","1.06","4.11","7.69","0.033",""
"2","67/1858 (3.6%)","49.17","Eating_time_window_cat=T2","Reference","","","4.27","",""
"","","","Eating_time_window_cat=T1","2.65","1.3","5.43","11.68","0.008",""
"","","","Eating_time_window_cat=T3","1.79","0.92","3.46","10.41","0.085",""
"Education","","","","","","","","","0.394"
"1","35/887 (3.9%)","23.47","Eating_time_window_cat=T2","Reference","","","5.33","",""
"","","","Eating_time_window_cat=T1","3.7","1.51","9.06","35.19","0.004",""
"","","","Eating_time_window_cat=T3","1.08","0.41","2.84","6.32","0.873",""
"2","61/1321 (4.6%)","34.96","Eating_time_window_cat=T2","Reference","","","4.13","",""
"","","","Eating_time_window_cat=T1","2.33","1.04","5.22","11.08","0.041",""
"","","","Eating_time_window_cat=T3","1.63","0.8","3.32","8.93","0.174",""
"3","51/1571 (3.2%)","41.57","Eating_time_window_cat=T2","Reference","","","2.19","",""
"","","","Eating_time_window_cat=T1","4.71","1.62","13.68","12.87","0.004",""
"","","","Eating_time_window_cat=T3","2.79","1.08","7.23","11.19","0.035",""
"Marriage","","","","","","","","","0.696"
"1","60/2017 (3%)","53.37","Eating_time_window_cat=T2","Reference","","","1.87","",""
"","","","Eating_time_window_cat=T1","3.64","1.5","8.86","15.69","0.004",""
"","","","Eating_time_window_cat=T3","2.89","1.3","6.4","8.47","0.009",""
"2","19/599 (3.2%)","15.85","Eating_time_window_cat=T2","Reference","","","2.56","",""
"","","","Eating_time_window_cat=T1","4.28","0.92","19.97","25.22","0.064",""
"","","","Eating_time_window_cat=T3","3.28","0.73","14.74","6.76","0.121",""
"3","68/1163 (5.8%)","30.78","Eating_time_window_cat=T2","Reference","","","7.32","",""
"","","","Eating_time_window_cat=T1","3.67","1.8","7.47","19.47","<0.001",""
"","","","Eating_time_window_cat=T3","1.51","0.77","2.95","12.3","0.233",""
"Economic.status","","","","","","","","","0.384"
"1","38/1021 (3.7%)","27.02","Eating_time_window_cat=T2","Reference","","","3.11","",""
"","","","Eating_time_window_cat=T1","6.18","2.18","17.47","14.81","0.001",""
"","","","Eating_time_window_cat=T3","2.12","0.75","6.02","12.59","0.156",""
"2","84/1670 (5%)","44.19","Eating_time_window_cat=T2","Reference","","","5.56","",""
"","","","Eating_time_window_cat=T1","2.3","1.18","4.45","23.58","0.014",""
"","","","Eating_time_window_cat=T3","1.48","0.84","2.62","11.73","0.179",""
"3","25/1088 (2.3%)","28.79","Eating_time_window_cat=T2","Reference","","","1.4","",""
"","","","Eating_time_window_cat=T1","4.99","0.92","26.96","5.52","0.062",""
"","","","Eating_time_window_cat=T3","4.42","0.98","19.92","5.21","0.053",""
"DEI_group","","","","","","","","","0.263"
"1","98/1883 (5.2%)","49.83","Eating_time_window_cat=T2","Reference","","","6.17","",""
"","","","Eating_time_window_cat=T1","2.65","1.47","4.77","15.6","0.001",""
"","","","Eating_time_window_cat=T3","1.7","0.99","2.94","17","0.056",""
"2","49/1896 (2.6%)","50.17","Eating_time_window_cat=T2","Reference","","","1.35","",""
"","","","Eating_time_window_cat=T1","5.4","1.87","15.58","23.65","0.002",""
"","","","Eating_time_window_cat=T3","2.41","0.93","6.29","4.82","0.072",""
"BMI","","","","","","","","","0.268"
"1","38/1001 (3.8%)","26.49","Eating_time_window_cat=T2","Reference","","","2.04","",""
"","","","Eating_time_window_cat=T1","8.2","2.55","26.33","15.63","<0.001",""
"","","","Eating_time_window_cat=T3","2.65","0.87","8.07","6.06","0.086",""
"2","109/2778 (3.9%)","73.51","Eating_time_window_cat=T2","Reference","","","4.38","",""
"","","","Eating_time_window_cat=T1","2.53","1.42","4.52","19.15","0.002",""
"","","","Eating_time_window_cat=T3","1.68","1","2.84","10.27","0.051",""
"Racial","","","","","","","","","0.083"
"1","46/1547 (3%)","40.94","Eating_time_window_cat=T2","Reference","","","2.56","",""
"","","","Eating_time_window_cat=T1","5.33","2.17","13.1","13.56","<0.001",""
"","","","Eating_time_window_cat=T3","2.44","1","5.93","7.65","0.049",""
"2","58/1008 (5.8%)","26.67","Eating_time_window_cat=T2","Reference","","","3.07","",""
"","","","Eating_time_window_cat=T1","3.37","1.15","9.9","11.88","0.027",""
"","","","Eating_time_window_cat=T3","3.36","1.4","8.05","12.52","0.006",""
"3","37/949 (3.9%)","25.11","Eating_time_window_cat=T2","Reference","","","6.53","",""
"","","","Eating_time_window_cat=T1","1.62","0.68","3.84","36.92","0.276",""
"","","","Eating_time_window_cat=T3","0.74","0.29","1.89","6.3","0.536",""
"4","6/275 (2.2%)","7.28","Eating_time_window_cat=T2","Reference","","","4.21","",""
"","","","Eating_time_window_cat=T1","3.54","0.04","357.3","3.23","0.592",""
"","","","Eating_time_window_cat=T3","4.71","0.13","170.44","2.45","0.398",""
"Smoking","","","","","","","","","0.969"
"0","77/2138 (3.6%)","56.58","Eating_time_window_cat=T2","Reference","","","3.27","",""
"","","","Eating_time_window_cat=T1","3.47","1.72","7.02","21.64","0.001",""
"","","","Eating_time_window_cat=T3","1.86","0.95","3.65","10.4","0.07",""
"1","70/1641 (4.3%)","43.42","Eating_time_window_cat=T2","Reference","","","4.42","",""
"","","","Eating_time_window_cat=T1","3.24","1.53","6.86","15.07","0.002",""
"","","","Eating_time_window_cat=T3","1.89","0.98","3.68","7.32","0.059",""
