"Variable","Count","Percent","Point Estimate","Lower","Upper","P value","P for interaction"
"Age_group","","","","","","","0.474"
"   <65","49/2784 (1.8%)","73.67","0.88","0.79","0.97","0.014",""
"   ≥65","98/995 (9.8%)","26.33","0.95","0.86","1.05","0.329",""
"Gender","","","","","","","0.956"
"   1","80/1921 (4.2%)","50.83","0.89","0.8","0.98","0.024",""
"   2","67/1858 (3.6%)","49.17","0.95","0.85","1.05","0.301",""
"Education","","","","","","","0.228"
"   1","35/887 (3.9%)","23.47","0.89","0.76","1.03","0.116",""
"   2","61/1321 (4.6%)","34.96","0.97","0.86","1.1","0.66",""
"   3","51/1571 (3.2%)","41.57","0.88","0.79","0.99","0.03",""
"Marriage","","","","","","","0.17"
"   1","60/2017 (3%)","53.37","1.02","0.91","1.15","0.682",""
"   2","19/599 (3.2%)","15.85","0.87","0.73","1.04","0.117",""
"   3","68/1163 (5.8%)","30.78","0.86","0.77","0.95","0.004",""
"Economic.status","","","","","","","0.16"
"   1","38/1021 (3.7%)","27.02","0.82","0.72","0.94","0.004",""
"   2","84/1670 (5%)","44.19","0.96","0.87","1.06","0.395",""
"   3","25/1088 (2.3%)","28.79","0.96","0.8","1.16","0.688",""
"DEI_group","","","","","","","0.448"
"   1","98/1883 (5.2%)","49.83","0.93","0.85","1.01","0.105",""
"   2","49/1896 (2.6%)","50.17","0.9","0.8","1.02","0.109",""
"BMI","","","","","","","0.79"
"   1","38/1001 (3.8%)","26.49","0.84","0.73","0.98","0.03",""
"   2","109/2778 (3.9%)","73.51","0.94","0.87","1.02","0.141",""
"Racial","","","","","","","0.007"
"   1","46/1547 (3%)","40.94","0.86","0.76","0.97","0.016",""
"   2","58/1008 (5.8%)","26.67","1.09","0.97","1.22","0.17",""
"   3","37/949 (3.9%)","25.11","0.87","0.76","0.99","0.034",""
"   4","6/275 (2.2%)","7.28","0.82","0.39","1.74","0.612",""
"Smoking","","","","","","","0.781"
"   0","77/2138 (3.6%)","56.58","0.9","0.82","1","0.046",""
"   1","70/1641 (4.3%)","43.42","0.93","0.83","1.03","0.146",""
"Drinking","","","","","","","0.987"
"   1","136/3286 (4.1%)","86.95","0.92","0.86","0.99","0.025",""
"   2","11/493 (2.2%)","13.05","0.98","0.75","1.3","0.912",""
"HBP","","","","","","","0.563"
"   0","30/1220 (2.5%)","32.28","0.88","0.76","1.02","0.102",""
"   1","117/2559 (4.6%)","67.72","0.94","0.87","1.02","0.146",""
"DM","","","","","","","0.96"
"   0","72/2308 (3.1%)","61.07","0.9","0.81","0.99","0.025",""
"   1","75/1471 (5.1%)","38.93","0.92","0.83","1.03","0.143",""
